director,image,journalist_count,journalist_score,movie_rate,netizen_count,netizen_rate,opening_date,playing_time,scope,title
츠츠미 유키히코,https://movie-phinf.pstatic.net/20220420_111/1650442949802JzwNn_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,0,0.0,2022-05-16,119,"미스터리,드라마",퍼스트 러브
로렌스 파울러,https://movie-phinf.pstatic.net/20220415_31/16499906477349OguT_JPEG/movie_image.jpg?type=m99_141_2,2,5.0,15세 관람가,10,5.9,2022-05-12,88,"공포,스릴러",잭 인 더 박스
자크 오디아르,https://movie-phinf.pstatic.net/20220412_154/1649728583099XCGEh_JPEG/movie_image.jpg?type=m99_141_2,6,7.0,청소년 관람불가,39,7.67,2022-05-12,105,"드라마,멜로/로맨스","파리, 13구"
"마크 J. 프랜시스,맥스 퓨",https://movie-phinf.pstatic.net/20220513_185/1652431243958UlCdr_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,전체 관람가,26,8.85,2022-05-12,94,다큐멘터리,나를 만나는 길
다비드 빅토리,https://movie-phinf.pstatic.net/20220419_232/1650360590317O6PhK_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,청소년 관람불가,12,6.92,2022-05-12,96,스릴러,크로스 더 라인
진재운,https://movie-phinf.pstatic.net/20220425_170/1650854758182EFR8M_JPEG/movie_image.jpg?type=m99_141_2,1,6.0,전체 관람가,0,0.0,2022-05-12,93,다큐멘터리,"허황옥 3일, 잃어버린 2천 년의 기억"
필리다 로이드,https://movie-phinf.pstatic.net/20220428_232/1651121723011VWgy8_JPEG/movie_image.jpg?type=m99_141_2,,,15세 관람가,6,7.67,2022-05-12,98,드라마,허셀프
김현우,https://movie-phinf.pstatic.net/20220510_74/1652150535220SaXYc_JPEG/movie_image.jpg?type=m99_141_2,,,청소년 관람불가,20,8.3,2022-05-12,72,"스릴러,액션",데드캠핑 더라이브
존 매든,https://movie-phinf.pstatic.net/20220513_27/1652430800409gzVc6_JPEG/movie_image.jpg?type=m99_141_2,,,12세 관람가,171,7.39,2022-05-11,127,"드라마,전쟁",민스미트 작전
최종학,https://movie-phinf.pstatic.net/20220411_297/1649645875446Wzycj_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,전체 관람가,219,6.81,2022-05-11,107,가족,어부바
